T	T'	L	R	L'	R'	w/	tile before	tile after	item left before	item right before	item left after	item right after	requirement	thanks
							# euia							
🐄	🐂	✂️		✂️	🧥		cow/cow/coat	ox/cow/nude	scissors		scissors	coat		
🥀	🌹					💧	wilted rose	rose					water	🌹 *Slurp*. Why thank you. You are my dearest friend…
														
							# occia							
🏊‍♂️	🧜‍♂️	🔱		💧			herman	merman	trident		water			🧜‍♂️ Thank you for rescuing me. Please accept from us the Essence of Water. We hope that it will aid you in restoring *mojick* to the world.
🐟	🐡	🌵				💨	fish	puffer fish	prickly pear				wind	
🐴	🦄	🍬					horse	unicorn	candy					🦄 Thank you for this delightful throat drop. I was becoming hoarse.
							# borea							
🌲	🎄	💡				⚡️	unlit tree	lit tree	light bulb				power	
🐻	⸪	🥼				🌈	bear	polar bear	lab coat				mojick	
⚪️	⛄️	🥕				💨	abdominal snowman	abominable snowman	carrot				wind	
🦌		💡					caribou		light bulb					🦌 I’m *free*. Thank you for making my nose glow again. I will once again take to the skies.
🐋		🍃					whale		bay leaves					🐋 I can take a hint and *leave the bay* now. Maybe one day I will find my fountain of mojick and become the glorious *narwhal* once again.
🤒	🙂	💊		🌡			sicko	wello	pill		thermometer			Thank you. I feel much better now. Please accept this 🌡*thermometer*.
							# midia							
🐍	🦎	🐢		🐌		🌈	sal the snake	sal the mander	turtle		snail		mojick	
							# infernia							
														
							# oria							
														
							# dysia							
														
							# ethyria							
🌙	🌝	🌝					moon	lune	lune					
🌏	🌍	🔧		🔧			asia	africa	*/wrench/*		*/wrench/*			
🌍	🌎	🔧		🔧			africa	america	*/wrench/*		*/wrench/*			
🌎	🌏	🔧		🔧			america	asia	*/wrench/*		*/wrench/*			
														
							# mojick of euia							
														
							# mojick of occia							
														
							# mojick of borea							
🐻	⸪	🥼					bear	polar bear	lab coat					
⚪️	⛄️	🥕				🌈	abdominal snowman	abominable snowman	carrot				mojick	☃️ Thank you for restoring my 🥕 *nose*!
							# mojick of midia							
														
							# mojick of infernia							
														
							# mojick of oria							
🦆	🐉					🔥	drake	fire drake					fire	
							# mojick of dysia							
														
														
														
														
														
														
														
														
														
														
							# unplanned							
														
														
🐈	🐅	🍄					kitty	tiger	mushroom					
