					entity before	item before	entity after	item after	requirement	thanks
euia										
										
occia										
🏊‍♂️	🔱	🧜‍♂️	💧		herman	trident	merman	water		🧜‍♂️ Thank you for rescuing me. Please accept from us the Essence of Water. We hope that it will aid you in restoring *mojick* to the world.
🐟	🌵	🐡		💨	fish	cactus	puffer fish		wind	
borea										
🌲	💡	🎄		⚡️	unlit tree	light bulb	lit tree		power	
🐻	🥼	⸪		🌈	bear	lab coat	polar bear		mojick	
⚪️	🥕	⛄️		🌈	abdominal snowman	carrot	abominable snowman		mojick	
🦌	💡				caribou	light bulb				🦌 I’m *free*. Thank you for making my nose glow again. I will once again take to the skies.
🐋	🍃				whale	bay leaves				🐋 I can take a hint and *leave the bay* now. Maybe one day I will find my fountain of mojick and become the glorious *narwhal* once again.
midia										
🐍	🐢	🦎	🐌	🌈	sal the snake	turtle	sal the mander	snail	mojick	
infernia										
										
oria										
										
dysia										
										
ethyria										
🌙	🌝	🌝			moon	lune	lune			
🌏	🔧	🌍	🔧		asia	*/wrench/*	africa	*/wrench/*		
🌍	🔧	🌎	🔧		africa	*/wrench/*	america	*/wrench/*		
🌎	🔧	🌏	🔧		america	*/wrench/*	asia	*/wrench/*		
										
return to euia										
										
return to occia										
										
return to borea										
🐻	🥼	⸪			bear	invisibility cloak	polar bear			
return to midia										
										
return to infernia										
										
return to oria										
										
return to dysia										
										
										
										
										
										
										
										
										
										
										
unplanned										
										
										
🐈	🍄	🐅			kitty	mushroom	tiger			
